year,make,model,miles,trim,sold_price
2014,Volkswagen,Jetta,53238,2.0L S,15990
2015,Chevrolet,Volt,112160,base,17590
2015,Ford,Focus,57046,SE,14990
2013,Honda,Odyssey,103874,EX-L,18990
2015,Chevrolet,Cruze,86301,1LT,13990
2022,Toyota,4Runner,5544,TRD Sport,48990
2017,Mercedes-Benz,Mercedes-AMG C-Class,45958,C 63 S AMG,55590
2013,FIAT,500,33222,Pop,14990
2015,Ford,Explorer,70378,XLT,22990
2017,Cadillac,CTS,18467,2.0 Luxury,32590
2015,Hyundai,Sonata,80514,Sport,16990
2013,Chrysler,200,91982,LX,12590
2018,Dodge,Journey,40671,GT,23990
2015,Nissan,Altima,76489,2.5 S,15590
2017,Toyota,Tacoma Access Cab,57675,SR 6 ft,28590
2019,Kia,Niro,19948,LX,27990
2018,Mercedes-Benz,CLA,50733,CLA 250,29990
2016,Mitsubishi,Outlander,63569,SE,19590
2015,Chevrolet,Spark EV,39108,2LT,15990
2018,Volkswagen,Tiguan,77830,2.0T SE 4MOTION,20990
2014,Cadillac,ATS,17492,2.0L Turbo Luxury,24990
2012,FIAT,500,50362,Pop,12990
2012,Ford,Mustang,83311,base,16990
2017,Chevrolet,Trax,20268,LS,19990
2016,Mercedes-Benz,C-Class,16183,C 300 4MATIC,31990
2019,GMC,Terrain,43170,SLT,30187
2015,Jeep,Grand Cherokee,94117,Limited,23590
2018,Mitsubishi,Outlander Sport,51582,LE,19590
2021,Jeep,Wrangler Unlimited,32847,Sport Altitude,43590
2017,Volkswagen,Jetta,40069,1.8T SEL Premium,21990
2016,Audi,A4,71882,Premium,21990
2019,Nissan,Kicks,63575,S,19990
2012,Ford,F150 SuperCrew Cab,103427,XLT 5 1/2 ft,22990
2015,Chevrolet,Equinox,54424,LT,17990
2012,FIAT,500,49347,Pop,13590
2017,GMC,Acadia,94270,SLT-2,24990
2015,Chevrolet,Impala Limited,46375,LT,17590
2018,Ford,Explorer,78374,base,24590
2022,Hyundai,Palisade,6121,Calligraphy,55990
2020,Hyundai,Elantra,19162,Value Edition,22990
2015,GMC,Savana 2500 Cargo,46681,base,33990
2021,Subaru,Outback,20316,Premium,32990
2013,FIAT,500,67512,500c Abarth Cabrio,15590
2021,Chevrolet,Silverado 1500 Crew Cab,17819,Custom 5 3/4 ft,42990
2015,Dodge,Charger,65374,SXT,24590
2015,MAZDA,MAZDA3,55536,i Grand Touring,19990
2014,Kia,Sorento,55908,LX,19990
2014,Ford,Edge,79193,Sport,19990
2015,Hyundai,Genesis Coupe,62862,3.8 Ultimate,23990
2016,Mercedes-Benz,CLA,21407,CLA 250,27590
2016,Chevrolet,Cruze Limited,57217,LS,14990
2018,Hyundai,Tucson,26460,Value,25550
2020,Chevrolet,Equinox,46658,LT,21995
2019,Subaru,Impreza,31333,2.0i Sport,25990
2021,Honda,Pilot,18560,EX-L,38590
2015,Chevrolet,Cruze,59223,LTZ,17590
2019,Dodge,Grand Caravan Passenger,73421,GT,17888
2014,Toyota,Sienna,64081,XLE,26590
2012,Nissan,Rogue,69579,SV w/SL Pkg,16590
2012,MAZDA,MAZDA3,19299,i Touring,17990
2013,Chevrolet,Equinox,72230,LT,16990
2016,Nissan,Maxima,65575,Platinum,25590
2016,Chrysler,200,47351,Touring,16990
2020,Ford,EcoSport,57107,SES,19008
2016,Nissan,Altima,96678,2.5 S,14990
2019,MAZDA,CX-5,40763,Sport,25590
2014,Honda,Pilot,78262,Touring,23990
2019,Honda,CR-V,23054,EX,30590
2013,Ford,Escape,76536,SE,15990
2018,Ford,Escape,38554,Titanium,27597
2013,Honda,Odyssey,103315,Touring,20990
2020,Dodge,Journey,21325,SE Value,24990
2018,Volkswagen,Golf R,45058,Hatchback,37990
2014,Lexus,GX,46741,GX 460,36990
2010,Toyota,Sienna,65428,LE,17990
2018,Nissan,Rogue,27201,SV,23990
2018,Chevrolet,Equinox,45008,LT,22990
2021,Porsche,Macan,3469,base,61990
2018,Mitsubishi,Mirage,60830,ES,14990
2016,Honda,HR-V,70832,EX-L,20990
2020,Ford,Mustang,11590,EcoBoost Premium,36590
2010,BMW,3 Series,24278,328i,22990
2014,Dodge,Grand Caravan Passenger,61203,SE,17990
